# k, ph, pmodZA, pxmodZA, pmodPM, pxmodPM, pmodE, pxmodE, pmodE1, pxmodE1
5.24581e-01 1.62518e+02 1.27534e+02 1.40956e+02 8.91608e+01 1.11318e+02 5.07785e+00 2.00459e+01 2.98333e+00 1.58579e+01
5.30734e-01 1.57066e+02 1.22742e+02 1.35780e+02 8.53124e+01 1.06638e+02 4.57313e+00 1.84632e+01 2.66661e+00 1.45662e+01
5.36866e-01 1.50795e+02 1.17387e+02 1.29912e+02 8.12486e+01 1.01583e+02 4.05552e+00 1.68619e+01 2.33236e+00 1.32212e+01
5.42963e-01 1.46122e+02 1.13121e+02 1.25417e+02 7.78056e+01 9.75788e+01 3.66203e+00 1.56208e+01 2.08701e+00 1.22191e+01
5.49107e-01 1.42348e+02 1.09265e+02 1.21515e+02 7.50341e+01 9.42813e+01 3.28755e+00 1.45171e+01 1.84423e+00 1.12562e+01
5.55276e-01 1.38043e+02 1.05750e+02 1.17595e+02 7.16327e+01 9.04629e+01 2.94017e+00 1.33680e+01 1.63185e+00 1.03449e+01
5.61408e-01 1.31396e+02 1.00349e+02 1.11549e+02 6.80877e+01 8.56516e+01 2.62970e+00 1.21514e+01 1.43983e+00 9.34218e+00
5.67537e-01 1.28298e+02 9.72426e+01 1.08383e+02 6.52861e+01 8.26083e+01 2.35861e+00 1.12744e+01 1.27913e+00 8.63555e+00
5.73674e-01 1.24125e+02 9.36940e+01 1.04481e+02 6.25752e+01 7.91903e+01 2.11275e+00 1.03698e+01 1.13014e+00 7.90966e+00
5.79810e-01 1.20328e+02 9.03306e+01 1.00869e+02 6.00765e+01 7.61824e+01 1.90609e+00 9.64308e+00 1.00452e+00 7.30489e+00
5.85943e-01 1.16997e+02 8.74501e+01 9.76793e+01 5.76701e+01 7.33128e+01 1.69809e+00 8.87002e+00 8.83777e-01 6.68043e+00
5.92059e-01 1.12574e+02 8.36208e+01 9.35095e+01 5.50799e+01 6.98380e+01 1.52416e+00 8.12153e+00 7.84553e-01 6.09165e+00
5.98194e-01 1.09319e+02 8.05090e+01 9.02639e+01 5.24337e+01 6.69048e+01 1.37197e+00 7.49564e+00 6.95941e-01 5.59622e+00
6.04359e-01 1.06687e+02 7.79817e+01 8.75733e+01 5.07274e+01 6.47195e+01 1.22395e+00 6.97174e+00 6.13148e-01 5.16490e+00
6.10491e-01 1.02268e+02 7.46412e+01 8.37174e+01 4.83394e+01 6.15155e+01 1.09589e+00 6.33345e+00 5.41532e-01 4.66918e+00
6.16605e-01 9.98794e+01 7.24915e+01 8.13861e+01 4.68887e+01 5.96595e+01 9.82108e-01 5.92060e+00 4.79608e-01 4.34223e+00
6.22757e-01 9.65409e+01 6.99593e+01 7.83904e+01 4.48821e+01 5.70597e+01 8.78299e-01 5.40649e+00 4.21986e-01 3.94082e+00
6.28898e-01 9.36856e+01 6.72311e+01 7.55364e+01 4.30255e+01 5.47316e+01 7.91061e-01 4.99150e+00 3.73260e-01 3.61062e+00
6.35033e-01 9.03539e+01 6.46095e+01 7.25018e+01 4.13516e+01 5.23261e+01 7.08054e-01 4.57829e+00 3.29817e-01 3.29777e+00
6.41174e-01 8.74977e+01 6.20383e+01 6.97489e+01 3.93203e+01 4.99683e+01 6.24777e-01 4.17500e+00 2.87250e-01 2.98419e+00
6.47307e-01 8.52554e+01 6.02257e+01 6.76504e+01 3.79960e+01 4.82122e+01 5.64413e-01 3.87740e+00 2.54888e-01 2.74354e+00
6.53439e-01 8.32095e+01 5.84636e+01 6.56803e+01 3.66327e+01 4.65426e+01 5.05848e-01 3.58353e+00 2.24898e-01 2.52726e+00
6.59578e-01 8.03461e+01 5.60727e+01 6.29832e+01 3.50874e+01 4.43944e+01 4.52951e-01 3.29891e+00 1.98813e-01 2.31043e+00
6.65709e-01 7.80407e+01 5.41539e+01 6.08299e+01 3.37051e+01 4.26072e+01 4.03430e-01 2.99952e+00 1.74353e-01 2.09087e+00
6.71837e-01 7.59406e+01 5.23809e+01 5.88580e+01 3.24854e+01 4.10685e+01 3.64771e-01 2.79532e+00 1.54648e-01 1.92330e+00
6.77968e-01 7.39992e+01 5.07225e+01 5.69890e+01 3.12680e+01 3.95264e+01 3.25259e-01 2.56409e+00 1.35751e-01 1.75362e+00
6.84103e-01 7.10699e+01 4.85827e+01 5.44136e+01 2.98958e+01 3.74770e+01 2.89452e-01 2.32354e+00 1.18854e-01 1.58206e+00
6.90247e-01 6.94819e+01 4.71631e+01 5.28434e+01 2.89912e+01 3.62608e+01 2.60914e-01 2.17348e+00 1.05308e-01 1.46337e+00
6.96390e-01 6.78947e+01 4.58914e+01 5.13587e+01 2.80065e+01 3.50510e+01 2.33227e-01 1.99974e+00 9.24876e-02 1.33748e+00
7.02535e-01 6.54358e+01 4.39200e+01 4.90856e+01 2.67351e+01 3.32024e+01 2.08938e-01 1.82863e+00 8.14756e-02 1.21350e+00
7.08680e-01 6.36445e+01 4.25659e+01 4.74897e+01 2.58889e+01 3.20024e+01 1.87063e-01 1.68074e+00 7.16307e-02 1.10462e+00
7.14811e-01 6.21634e+01 4.12447e+01 4.60343e+01 2.49981e+01 3.08829e+01 1.69207e-01 1.57463e+00 6.35990e-02 1.02221e+00
7.20949e-01 6.05047e+01 3.98323e+01 4.43635e+01 2.39190e+01 2.94070e+01 1.51072e-01 1.42453e+00 5.58790e-02 9.21017e-01
7.27078e-01 5.85691e+01 3.83500e+01 4.26827e+01 2.31126e+01 2.82385e+01 1.35224e-01 1.31627e+00 4.91391e-02 8.42617e-01
7.33191e-01 5.73096e+01 3.73809e+01 4.14909e+01 2.23879e+01 2.72702e+01 1.21934e-01 1.20817e+00 4.33703e-02 7.64818e-01
7.39339e-01 5.55410e+01 3.60329e+01 3.98943e+01 2.15859e+01 2.60246e+01 1.09704e-01 1.11043e+00 3.80738e-02 6.95832e-01
7.45482e-01 5.44045e+01 3.51856e+01 3.88502e+01 2.10476e+01 2.52590e+01 9.91789e-02 1.04356e+00 3.38990e-02 6.46026e-01
7.51612e-01 5.29139e+01 3.40045e+01 3.74968e+01 2.02352e+01 2.41497e+01 8.88774e-02 9.44281e-01 2.97905e-02 5.79214e-01
7.57755e-01 5.14455e+01 3.29409e+01 3.61734e+01 1.95913e+01 2.32098e+01 8.04325e-02 8.78306e-01 2.62693e-02 5.31381e-01
7.63904e-01 5.06408e+01 3.22030e+01 3.53615e+01 1.90698e+01 2.25552e+01 7.31090e-02 8.23264e-01 2.33582e-02 4.92450e-01
7.70056e-01 4.92969e+01 3.11014e+01 3.41098e+01 1.83844e+01 2.15440e+01 6.52619e-02 7.46038e-01 2.03636e-02 4.41812e-01
7.76165e-01 4.83660e+01 3.05068e+01 3.33166e+01 1.79039e+01 2.09214e+01 5.90564e-02 6.95274e-01 1.80311e-02 4.07114e-01
7.82276e-01 4.72525e+01 2.95536e+01 3.22363e+01 1.73187e+01 2.00451e+01 5.38603e-02 6.44564e-01 1.59850e-02 3.71062e-01
